Brand,Model,AccelSec,TopSpeed_KmH,Range_Km,Efficiency_WhKm,FastCharge_KmH,RapidCharge,PowerTrain,PlugType,BodyStyle,Segment,Seats,PriceEuro,Reviews
Tesla,Model 3 Long Range Dual Motor,4.6,233,450,161,940,Yes,AWD,Type 2 CCS,Sedan,D,5,55480,"Dominates the EV market with perfect balance of range and performance. Autopilot sets industry standard, though ride quality could be softer"
Volkswagen,ID.3 Pure,10,160,270,167,250,Yes,RWD,Type 2 CCS,Hatchback,C,5,30000,"Excellent urban runabout with zippy handling. Interior feels plasticky but infotainment is intuitive. Good value for money"
Polestar,2,4.7,210,400,181,620,Yes,AWD,Type 2 CCS,Liftback,D,5,56440,"Stunning Scandinavian design meets EV tech. Firm suspension rewards enthusiastic drivers. Google-based OS works flawlessly"
BMW,iX3,6.8,180,360,206,560,Yes,RWD,Type 2 CCS,SUV,D,5,68040,"Typical BMW driving dynamics in EV form. Luxurious cabin but range anxiety on long trips. iDrive remains best in class"
Honda,e,9.5,145,170,168,190,Yes,RWD,Type 2 CCS,Hatchback,B,4,32997,"Retro-futuristic styling masterpiece. Fun city car but limited practicality. Camera mirror system takes getting used to"
Lucid,Air,2.8,250,610,180,620,Yes,AWD,Type 2 CCS,Sedan,F,5,105000,"Reinvents luxury EV segment with space-age tech. Massage seats and Dolby Atmos audio create mobile sanctuary"
Volkswagen,e-Golf,9.6,150,190,168,220,Yes,FWD,Type 2 CCS,Hatchback,C,5,31900,"Proven Golf platform electrified. Feels dated compared to new EVs but build quality remains impeccable"
Peugeot,e-208,8.1,150,275,164,420,Yes,FWD,Type 2 CCS,Hatchback,B,5,29682,"French flair meets EV efficiency. Surprising quick charging capability. 3D instrument cluster is love-it-or-hate-it"
Tesla,Model 3 Standard Range Plus,5.6,225,310,153,650,Yes,RWD,Type 2 CCS,Sedan,D,5,46380,"Best-selling EV for good reason. Software updates keep feeling fresh. Minimalist interior divides opinions"
Audi,Q4 e-tron,6.3,180,400,193,540,Yes,AWD,Type 2 CCS,SUV,D,5,55000,"Virtual cockpit shines in premium package. Confident quattro AWD system. MMI touch response could be quicker"
Mercedes,EQC 400 4MATIC,5.1,180,370,216,440,Yes,AWD,Type 2 CCS,SUV,D,5,69484,"Silent luxury cruiser with buttery ride. Disappointing efficiency. MBUX interface sets new benchmark"
Nissan,Leaf,7.9,144,220,164,230,Yes,FWD,Type 2 CHAdeMO,Hatchback,C,5,29234,"EV pioneer showing its age. CHAdeMO charging limits compatibility. Spacious cabin for its class"
Hyundai,Kona Electric 64 kWh,7.9,167,400,160,380,Yes,FWD,Type 2 CCS,SUV,B,5,40795,"Surprise range champion. Cramped rear seats but packed with safety tech. Best value long-range EV"
BMW,i4,4,200,450,178,650,Yes,RWD,Type 2 CCS,Sedan,D,5,65000,"Electrified 4 Series done right. Classic BMW steering feel. Grille design remains controversial"
Hyundai,IONIQ Electric,9.7,165,250,153,210,Yes,FWD,Type 2 CCS,Liftback,C,5,34459,"Sleek aerodynamics maximize efficiency. Brisk acceleration in city traffic. Rapid charging could be faster"
Volkswagen,ID.3 Pro S,7.9,160,440,175,590,Yes,RWD,Type 2 CCS,Hatchback,C,4,40936,"Family-friendly EV with massive boot. Augmented reality HUD impresses. Touch-sensitive controls need refinement"
Porsche,Taycan Turbo S,2.8,260,375,223,780,Yes,AWD,Type 2 CCS,Sedan,F,4,180781,"Electrifies Porsche DNA perfectly. Neck-snapping acceleration meets track prowess. Regenerative braking needs calibration"
Volkswagen,e-Up!,11.9,130,195,166,170,Yes,FWD,Type 2 CCS,Hatchback,A,4,21421,"Ultra-compact EV perfection. Ideal for tight city streets. Basic but honest transportation"
MG,ZS EV,8.2,140,220,193,260,Yes,FWD,Type 2 CCS,SUV,B,5,30000,"Budget EV with SUV practicality. Chunky styling hides cheap plastics. Surprising tech for the price"
Mini,Cooper SE,7.3,150,185,156,260,Yes,FWD,Type 2 CCS,Hatchback,B,4,31681,"Go-kart fun electrified. Retro interior charms. Limited range perfect as second car"
Opel,Corsa-e,8.1,150,275,164,420,Yes,FWD,Type 2 CCS,Hatchback,B,5,29146,"Peugeot e-208 twin with German badge. Comfortable seats, frustrating touch controls. Good real-world range"
Tesla,Model Y Long Range Dual Motor,5.1,217,425,171,930,Yes,AWD,Type 2 CCS,SUV,D,7,58620,"Family hauler reimagined. Falcon doors wow kids. Third row cramped for adults"
Skoda,Enyaq iV 50,10,160,290,179,230,Yes,RWD,Type 2 CCS,SUV,C,5,35000,"Practical Czech EV with clever storage. Smooth ride quality. Infotainment lags competitors"
Audi,e-tron GT,3.5,240,425,197,850,Yes,AWD,Type 2 CCS,Sedan,F,4,125000,"Four-door Gran Turismo masterpiece. Jaw-dropping design meets explosive performance. Rear headroom limited"
Tesla,Model 3 Long Range Performance,3.4,261,435,167,910,Yes,AWD,Type 2 CCS,Sedan,D,5,61480,"Track mode transforms family sedan. Carbon fiber spoiler adds sporty flair. Tire wear accelerated"
Volkswagen,ID.4,7.5,160,420,183,560,Yes,RWD,Type 2 CCS,SUV,C,5,45000,"Conservative choice done well. Roomy interior with clever storage. Driving dynamics lack excitement"
